"","","Accuracy","Play Count","Performance","SS","S","A"
"#3979","L3xsyyy","97.38%","54,184","7,898","18","258","564"
"#3980","-keta-","98.44%","27,558","7,898","34","592","886"
"#3981","iBeaver","94.47%","68,364","7,897","6","685","906"
"#3982","Headdesking1","99.09%","52,061","7,897","63","1,199","718"
"#3983","Cookie ai Ushio","98.85%","33,300","7,897","50","605","788"
"#3984","mjbathtub","99.21%","81,724","7,896","114","1,026","1,050"
"#3985","Apis","96.88%","80,340","7,896","27","641","813"
"#3986","Jonz","96.46%","54,573","7,896","15","390","297"
"#3987","w9ne","99.44%","55,102","7,896","72","605","1,012"
"#3988","salkin","99.04%","76,078","7,896","253","1,455","886"
"#3989","Nyaki","97.99%","78,305","7,896","35","421","340"
"#3990","DecoysIsBored","97.51%","50,124","7,896","3","317","492"
"#3991","-Akeno-","99.36%","75,932","7,896","62","1,260","1,269"
"#3992","Mackers","97.67%","77,618","7,896","20","555","1,460"
"#3993","Xilent","98.53%","40,546","7,895","31","428","1,157"
"#3994","Loaf","98.79%","39,331","7,895","50","664","1,422"
"#3995","hakoi","97.31%","72,759","7,894","44","290","414"
"#3996","yDropZz","97.48%","56,793","7,894","25","462","608"
"#3997","wizer","96.88%","157,293","7,894","14","430","1,394"
"#3998","Xylmen","99.19%","118,511","7,893","132","817","1,127"
"#3999","Gris","98.73%","146,877","7,893","1,332","1,760","1,465"
"#4000","Peecon","98.97%","84,567","7,892","78","1,098","2,098"
"#4001","Tarkun","98.96%","105,517","7,892","32","1,046","1,813"
"#4002","Konpleted","97.84%","76,018","7,892","19","1,056","1,606"
"#4003","Hornia","98.73%","64,414","7,892","48","582","596"
"#4004","Dayno","99.67%","48,512","7,892","494","1,058","589"
"#4005","Clean User","99.03%","26,415","7,891","32","598","535"
"#4006","Louane","96.64%","20,560","7,891","18","244","468"
"#4007","Takamin","97.65%","78,154","7,890","39","1,229","1,293"
"#4008","Yuucliwood","99.41%","41,522","7,890","99","881","1,167"
"#4009","- SHIKIEIKI","99.12%","40,222","7,890","319","2,711","812"
"#4010","Megii","98.48%","78,888","7,890","35","609","743"
"#4011","SomeGenPanda","98.71%","44,313","7,890","96","922","894"
"#4012","hisuiironosora","99.13%","72,779","7,890","57","1,290","1,096"
"#4013","Vantos","98.71%","61,964","7,890","308","1,601","1,366"
"#4014","Uzairr","99.03%","69,045","7,890","7","483","635"
"#4015","Aw Yeh","98.53%","22,031","7,889","26","441","648"
"#4016","Omgforz","99.04%","40,897","7,889","42","1,509","1,034"
"#4017","B0ss","99.31%","116,532","7,889","28","358","1,179"
"#4018","scorned","97.94%","117,134","7,889","10","347","1,230"
"#4019","_Ariel_","99.13%","68,231","7,889","321","826","285"
"#4020","shax","98.08%","121,326","7,889","4","153","215"
"#4021","GAddict","95.28%","39,499","7,888","8","198","281"
"#4022","1slayerpikmin1","99.53%","101,705","7,887","90","774","3,235"
"#4023","Vvdc","97.13%","60,287","7,887","42","331","793"
"#4024","regbeat","97.76%","41,637","7,886","22","718","802"
"#4025","TheWildTree","99.51%","81,508","7,886","448","1,519","945"
"#4026","rips","99.16%","92,942","7,885","219","2,238","247"
"#4027","Miy","98.46%","107,017","7,885","374","2,669","1,629"
"#4028","Noomn","97.52%","86,346","7,885","72","1,042","1,649"
"#4029","Febreeze","97.98%","71,462","7,885","90","801","450"
"#4030","Lemon Boy","97.53%","53,528","7,885","15","321","566"
"#4031","Enigmatic","98.83%","108,740","7,885","35","605","1,306"
"#4032","KmK","99.09%","72,722","7,884","36","622","1,448"
"#4033","Chizue","98.83%","68,363","7,884","67","614","1,008"
"#4034","Sakuragi","97.37%","52,275","7,884","4","229","725"
"#4035","bless_von","98.30%","51,276","7,884","3","447","724"
"#4036","Rybos","99.60%","101,281","7,883","154","550","361"
"#4037","Neina","90.68%","85,687","7,883","3","225","417"
"#4038","10thUnknown","98.42%","83,552","7,883","12","597","485"
"#4039","kayablue","96.94%","49,494","7,883","28","549","943"
"#4040","Northstar","98.42%","56,325","7,882","45","823","1,660"
"#4041","_KJREYNOSO_","97.17%","67,745","7,882","81","451","1,266"
"#4042","metul zwek","99.19%","79,877","7,882","200","1,448","777"
"#4043","Katachi","98.78%","71,839","7,881","49","629","789"
"#4044","GooGarog","99.22%","103,777","7,881","81","1,256","1,243"
"#4045","Remzy","98.66%","127,043","7,880","52","982","1,183"
"#4046","Cookieboy","97.67%","91,423","7,880","83","813","863"
"#4047","JustMan 4","98.16%","73,724","7,880","40","258","409"
"#4048","Misery-_-","98.19%","29,937","7,879","28","196","310"
"#4049","module","97.33%","59,350","7,879","13","254","536"
"#4050","kune257","98.17%","157,579","7,879","72","1,498","1,107"
"#4051","LLoyderino","98.51%","70,187","7,879","161","853","539"
"#4052","AlmightyDoor","96.42%","43,411","7,878","64","516","597"
"#4053","Ruru","99.04%","65,850","7,878","138","1,470","533"
"#4054","Sullgy","98.63%","64,859","7,878","22","519","652"
"#4055","lynchrya3","97.31%","70,157","7,878","33","475","801"
"#4056","bathtub fishe","97.45%","82,335","7,878","118","344","1,809"
"#4057","Oreon","98.71%","74,133","7,878","117","1,484","1,015"
"#4058","Blank-","98.43%","37,569","7,878","44","1,147","858"
"#4059","Doter 228","98.84%","74,681","7,877","49","466","723"
"#4060","PayneTrain","99.02%","35,037","7,876","86","1,014","1,487"
"#4061","-Kirishima","97.92%","69,912","7,876","39","501","572"
"#4062","Shirotorii","97.68%","47,791","7,876","25","519","1,171"
"#4063","rosshi","99.52%","66,238","7,876","726","1,478","325"
"#4064","Cafenoo","98.01%","62,397","7,876","77","1,089","821"
"#4065","Capi","99.19%","76,902","7,876","86","1,263","590"
"#4066","SnowHari","97.50%","58,082","7,875","46","362","836"
"#4067","Shuchi","98.69%","44,335","7,874","43","782","1,210"
"#4068","Snakerino","98.94%","6,294","7,874","33","212","471"
"#4069","Zados","98.77%","39,075","7,874","62","587","989"
"#4070","Zainy","99.20%","30,045","7,874","35","367","969"
"#4071","Lappen777","98.76%","19,427","7,874","26","408","614"
"#4072","sat","98.28%","71,535","7,874","52","1,420","1,067"
"#4073","Em1ru","98.47%","25,895","7,874","903","5,491","2,638"
"#4074","Vezuri","93.74%","64,434","7,874","53","470","682"
"#4075","Playboy","99.13%","86,919","7,873","442","2,743","1,170"
"#4076","AngelinkaMur","99.13%","56,395","7,872","112","894","850"
"#4077","Howlett","99.07%","25,343","7,872","50","532","821"
"#4078","Lisu","98.28%","28,733","7,871","84","744","1,056"
"#4079","ollebajs1","98.05%","59,097","7,871","11","385","933"
"#4080","Sagu","98.92%","98,406","7,871","41","607","1,116"
"#4081","Neab","99.08%","136,929","7,870","966","4,791","1,467"
"#4082","McNonal","97.53%","46,408","7,870","69","472","819"
"#4083","Tatan","96.68%","82,585","7,869","18","239","643"
"#4084","SnugSz","97.56%","128,898","7,869","8","509","491"
"#4085","_kola","96.62%","50,604","7,868","5","154","568"
"#4086","Viden","99.21%","79,985","7,868","92","839","1,142"
"#4087","Onii Chan","98.45%","141,076","7,868","21","1,541","2,252"
"#4088","ElectabuzzZ","98.76%","41,722","7,867","15","328","181"
"#4089","Endie-","99.19%","47,913","7,867","72","1,024","1,965"
"#4090","Kondou-Shinichi","94.05%","44,507","7,867","15","403","796"
"#4091","RobieWAptece","98.45%","72,152","7,867","71","859","947"
"#4092","Krokou","99.28%","57,795","7,867","69","722","592"
"#4093","Kenny","98.73%","138,977","7,867","517","1,532","598"
"#4094","ToGlette","99.33%","74,216","7,866","352","2,019","2,290"
"#4095","clayton","98.88%","57,201","7,866","549","2,551","179"
"#4096","Luisand","97.48%","121,921","7,866","22","1,155","1,942"
"#4097","Tsvki","99.19%","35,731","7,866","99","762","765"
"#4098","Kymera","98.98%","65,823","7,866","93","1,716","1,576"
"#4099","Zero Esper","98.56%","25,316","7,866","23","448","401"
"#4100","Zelnehuln","98.66%","52,528","7,866","57","708","830"
"#4101","yandri","99.65%","52,447","7,865","240","1,476","239"
"#4102","Jureax","98.22%","21,419","7,865","13","467","733"
"#4103","TheFireWithin","98.79%","81,979","7,865","1,279","1,349","1,150"
"#4104","nighthawkSLO","98.05%","70,730","7,865","4","156","670"
"#4105","Chitogechi","99.34%","46,234","7,863","196","1,709","1,033"
"#4106","D non","99.07%","87,527","7,862","313","2,021","290"
"#4107","Mehukatti","96.94%","106,292","7,862","43","698","583"
"#4108","Nitroz","98.89%","173,412","7,861","2,476","2,859","1,300"
"#4109","Nielou","97.75%","57,848","7,860","15","349","1,170"
"#4110","Paski","98.48%","45,609","7,860","78","1,275","1,349"
"#4111","magicmonkae","98.67%","64,900","7,860","202","1,859","1,280"
"#4112","SrSkyPlayer","98.82%","60,670","7,859","88","1,341","1,052"
"#4113","Konako","98.08%","71,423","7,859","46","638","410"
"#4114","Xtra","99.17%","75,300","7,858","36","643","753"
"#4115","Campanella","97.29%","18,290","7,858","5","230","316"
"#4116","DK_","97.94%","78,891","7,858","43","671","944"
"#4117","Trabanto","99.34%","62,722","7,858","122","635","1,116"
"#4118","sushimi","98.59%","51,338","7,857","74","1,290","1,082"
"#4119","Davyroo","98.31%","63,326","7,857","62","1,280","1,433"
"#4120","real mizaru","92.49%","13,118","7,856","1","52","131"
"#4121","Gornius","99.33%","108,491","7,856","141","962","766"
"#4122","Summer","99.30%","79,375","7,856","363","2,655","1,268"
"#4123","XFurY","98.90%","61,905","7,855","76","826","1,146"
"#4124","KirimaSharo","99.01%","167,474","7,855","53","490","301"
"#4125","_DerF","99.23%","39,597","7,855","64","561","581"
"#4126","Thexo","99.10%","87,060","7,853","210","1,928","1,819"
"#4127","Crissinop","99.61%","71,373","7,853","2,264","601","37"
"#4128","egg and cheese","99.15%","56,785","7,853","74","939","1,216"
"#4129","ratokkoy","98.71%","81,575","7,852","49","928","2,035"
"#4130","Ganondorf 3","98.73%","78,247","7,852","56","661","604"
"#4131","StrawFrog","98.58%","54,502","7,852","56","583","1,419"
"#4132","Neo-K4oS","97.02%","50,527","7,852","11","280","858"
"#4133","ibrocky","98.83%","99,213","7,852","83","1,764","1,569"
"#4134","roadcrow__","98.51%","78,790","7,851","18","246","265"
"#4135","Revenge76","96.92%","54,634","7,851","9","459","1,149"
"#4136","Nyanami","95.91%","69,656","7,850","218","2,761","1,348"
"#4137","LordTimeWaste","98.94%","65,547","7,850","65","1,039","2,100"
"#4138","Stonedawg","98.59%","45,028","7,850","31","982","890"
"#4139","icecreamez","97.00%","53,767","7,848","31","522","684"
"#4140","VNtXDDD","97.83%","34,802","7,847","21","395","1,073"
"#4141","Foxiris","98.93%","62,446","7,847","37","637","894"
"#4142","Seelder","98.72%","57,849","7,847","23","346","514"
"#4143","Free_","97.52%","82,029","7,846","146","1,023","1,781"
"#4144","MegumiKatou","99.06%","93,295","7,846","99","1,458","1,299"
"#4145","Weredeer","99.18%","37,287","7,846","58","1,140","1,619"
"#4146","K A T A R I","99.22%","82,829","7,846","108","1,161","1,335"
"#4147","Ryieru","95.54%","154,942","7,845","24","1,028","1,313"
"#4148","Shika","98.30%","94,380","7,845","30","739","983"
"#4149","AloeBat","98.11%","40,898","7,845","9","312","663"
"#4150","Amarillo","99.29%","53,670","7,844","303","1,630","1,510"
"#4151","uCHARA","96.08%","59,944","7,844","9","391","819"
"#4152","Tenshie","99.16%","70,030","7,844","320","1,618","950"
"#4153","Emelk","98.55%","42,494","7,844","148","542","755"
"#4154","TheMati117","98.08%","99,999","7,844","29","717","996"
"#4155","Worsl","99.22%","42,107","7,844","204","804","683"
"#4156","OctopuSSX","98.19%","49,837","7,844","27","377","851"
"#4157","Julla","98.18%","81,840","7,843","43","572","728"
"#4158","oribe","96.93%","130,962","7,843","48","1,309","448"
"#4159","Wonderis_","97.73%","54,263","7,842","51","675","1,201"
"#4160","-Hanamaru-","99.11%","73,374","7,841","113","828","494"
"#4161","iPhong","99.34%","134,837","7,841","10,266","5,946","201"
"#4162","Cleaveland","98.61%","115,250","7,841","7","593","1,799"
"#4163","Fork Wielder","95.38%","132,161","7,840","117","2,058","2,384"
"#4164","ImpurePug","98.67%","100,839","7,840","24","482","897"
"#4165","CoLouRed GlaZeE","99.27%","40,652","7,840","757","3,903","450"
"#4166","[ XiO ]","97.53%","72,372","7,839","49","485","424"
"#4167","aqilmanuar","96.84%","38,110","7,839","33","460","567"
"#4168","Gabriel25569","98.31%","11,347","7,838","25","201","515"
"#4169","striFE36","98.33%","37,085","7,838","8","728","1,061"
"#4170","Namie","96.79%","126,976","7,836","29","777","1,699"
"#4171","qwwert","99.36%","25,064","7,835","132","958","1,556"
"#4172","epiphronn","98.81%","99,682","7,835","62","671","1,018"
"#4173","12123435","96.91%","30,749","7,835","23","487","469"
"#4174","Xantaria","99.08%","50,830","7,834","79","1,197","1,232"
"#4175","hakegamer","98.51%","72,648","7,833","29","457","358"
"#4176","Sadism","98.85%","68,105","7,833","49","722","949"
"#4177","- Mekumin -","98.71%","58,444","7,832","40","1,179","729"
"#4178","Mami Tomoe Magi","97.27%","62,600","7,832","12","398","473"
"#4179","Rekinaja","98.69%","57,761","7,832","95","1,718","1,527"
"#4180","Sin_smile","94.31%","40,236","7,831","5","390","1,145"
"#4181","Stjpa","99.45%","96,606","7,831","83","1,142","1,383"
"#4182","Alicial","99.29%","75,887","7,831","139","1,348","1,265"
"#4183","Loner89","98.64%","49,976","7,830","15","454","745"
"#4184","Maxi","96.79%","78,685","7,830","14","146","146"
"#4185","Mombei","98.82%","27,720","7,830","49","338","703"
"#4186","flansl","95.36%","91,042","7,830","47","1,084","1,012"
"#4187","WaldaW","98.92%","107,407","7,830","104","818","534"
"#4188","Nagicho-","98.75%","190,470","7,829","139","2,815","810"
"#4189","Vilen","99.19%","78,689","7,829","310","2,549","1,202"
"#4190","Brainage","96.86%","36,901","7,829","39","284","1,124"
"#4191","Hekishoku","97.63%","67,984","7,829","90","799","1,671"
"#4192","Harumochi","99.13%","155,191","7,829","355","1,794","880"
"#4193","Shigenara","98.13%","84,687","7,828","45","531","609"
"#4194","-P0INT-","98.64%","55,973","7,828","68","793","692"
"#4195","Cino","98.43%","156,449","7,827","22","1,016","1,841"
"#4196","Seikyuu0","98.85%","41,322","7,826","17","467","433"
"#4197","bossan","99.30%","62,370","7,826","464","2,200","1,374"
"#4198","[ Kenpai ]","98.01%","55,622","7,826","41","864","1,566"
"#4199","Aranel","97.10%","87,053","7,825","175","587","548"
"#4200","ArkShadow","98.35%","42,955","7,825","31","682","738"
"#4201","vibban","97.21%","99,529","7,825","32","958","657"
"#4202","LuKetoG","96.59%","40,794","7,825","7","203","355"
"#4203","Oh its Wraith","97.99%","58,397","7,824","18","628","981"
"#4204","h i f u","98.88%","46,553","7,824","37","475","1,137"
"#4205","marssson","97.79%","64,807","7,824","103","938","1,562"
"#4206","Samoyed","99.27%","54,554","7,824","294","963","719"
"#4207","[Chiya]","98.57%","19,409","7,823","49","1,008","1,390"
"#4208","Evill","98.47%","100,424","7,823","82","384","928"
"#4209","AdequateCake","96.41%","33,858","7,823","28","417","518"
"#4210","Spirit-_","98.21%","112,863","7,822","35","465","1,781"
"#4211","Burgerpower","99.03%","55,446","7,822","67","810","989"
"#4212","complicated","97.57%","11,406","7,822","30","205","383"
"#4213","Captain","99.71%","62,851","7,821","370","1,023","771"
"#4214","FlyingSpoon7","98.55%","81,550","7,821","51","470","621"
"#4215","Dailycare","98.10%","41,270","7,821","226","2,249","711"
"#4216","TheAlimero","97.03%","71,881","7,820","36","598","505"
"#4217","Krimsu","98.69%","74,192","7,820","40","606","974"
"#4218","Nymphe","97.44%","83,407","7,820","18","974","813"
"#4219","RoundNight","98.93%","120,774","7,820","70","446","836"
"#4220","NaNya_","96.67%","27,288","7,820","24","402","347"
"#4221","aer0_","97.49%","78,101","7,820","63","381","852"
"#4222","Where is honey","98.56%","56,018","7,819","45","1,005","784"
"#4223","Apoxe","98.87%","34,715","7,819","6","160","420"
"#4224","yurimaster","97.83%","77,425","7,819","33","215","493"
"#4225","Hecatia","99.17%","66,401","7,818","128","1,449","1,631"
"#4226","Leaum","97.09%","60,549","7,818","10","378","140"
"#4227","wick","99.01%","63,873","7,817","66","993","939"
"#4228","-Brethia","98.18%","121,054","7,817","74","571","944"
"#4229","Tyguyy","99.05%","107,443","7,817","103","1,124","1,538"
"#4230","Notsuren","98.25%","87,447","7,816","32","249","364"
"#4231","[-Ascended-]","98.97%","39,098","7,816","77","740","219"
"#4232","-Kaos","98.59%","120,448","7,815","60","1,290","1,180"
"#4233","Phantasm","98.26%","97,269","7,815","112","1,416","2,515"
"#4234","Lafarius","98.79%","68,838","7,815","33","558","766"
"#4235","reknemite","98.18%","36,261","7,815","74","507","926"
"#4236","Tunayo","98.14%","63,631","7,814","67","601","1,327"
"#4237","Remco","98.49%","112,226","7,814","103","456","614"
"#4238","hlx_groden","99.08%","61,689","7,814","87","854","399"
"#4239","Tenori-Taiga","98.45%","112,228","7,814","47","1,457","2,116"
"#4240","Marker","98.95%","51,935","7,814","83","924","384"
"#4241","Blitzifyyy","97.38%","46,125","7,813","64","544","704"
"#4242","YoloNature","97.31%","46,027","7,813","7","463","861"
"#4243","Emyrrhald","99.09%","32,029","7,813","85","617","511"
"#4244","Kamayami","98.73%","55,862","7,812","42","480","959"
"#4245","fooders","98.35%","59,889","7,812","12","1,197","2,208"
"#4246","CancerPatient","97.53%","73,945","7,812","114","839","900"
"#4247","- Kokoi -","97.24%","60,953","7,811","13","572","997"
"#4248","[- Yami -]","97.48%","54,925","7,810","59","372","496"
"#4249","Zallopomo","99.15%","48,082","7,810","30","622","1,427"
"#4250","Changed","97.85%","86,380","7,810","33","643","1,301"
"#4251","Xrism","98.72%","25,460","7,809","8","370","1,037"
"#4252","Kayrem","97.96%","38,944","7,809","82","449","374"
"#4253","plz enjoy osu","98.58%","49,451","7,809","46","593","385"
"#4254","Ling Ling","96.53%","71,926","7,808","21","1,014","744"
"#4255","Dark and Hard","98.84%","139,799","7,808","134","2,128","876"
"#4256","GreyWB","98.36%","33,922","7,808","34","485","578"
"#4257","Swann","97.90%","53,082","7,808","25","616","1,228"
"#4258","BlacKThundeR13","98.72%","96,946","7,808","54","1,068","717"
"#4259","[Radzio]","98.28%","28,424","7,807","35","280","310"
"#4260","freeze113","97.75%","121,113","7,807","11","535","1,509"
"#4261","Repulse","99.01%","85,305","7,807","127","752","666"
"#4262","Rasea","96.12%","72,966","7,807","21","375","798"
"#4263","-Ekik-","99.61%","50,520","7,806","198","853","460"
"#4264","Midori Ryu","99.05%","77,392","7,806","130","870","935"
"#4265","kieve","98.48%","43,711","7,806","79","1,223","2,428"
"#4266","Danil194522","98.25%","63,090","7,806","142","1,164","1,430"
"#4267","Lahael","98.13%","56,991","7,806","25","576","1,070"
"#4268","TmaTe","98.87%","37,373","7,805","236","1,334","1,619"
"#4269","Cawfee","96.70%","101,265","7,805","49","742","1,049"
"#4270","Koppe","99.01%","51,473","7,805","115","1,084","2,124"
"#4271","DerpyFox","95.40%","53,571","7,805","1","143","531"
"#4272","-ALoNe","98.94%","80,605","7,805","83","646","1,312"
"#4273","Itskerry","98.92%","45,711","7,805","12","393","586"
"#4274","Gio","98.78%","100,170","7,805","30","1,412","569"
"#4275","Mareyo","99.40%","119,964","7,803","559","4,808","2,698"
"#4276","Basu","98.12%","37,810","7,803","17","639","515"
"#4277","arqx","98.69%","121,023","7,803","49","1,477","735"
"#4278","TheNexusGamer","99.34%","73,053","7,802","141","610","743"
"#4279","-Nemek-","94.70%","76,240","7,802","105","866","899"
"#4280","Jacob","98.77%","69,265","7,802","103","828","1,020"
"#4281","Valdyr","98.99%","68,361","7,801","20","780","24"
"#4282","Mousiini","99.02%","63,832","7,801","109","894","969"
"#4283","Blad_D","98.64%","73,891","7,801","22","265","787"
"#4284","DUD","97.59%","45,711","7,800","8","306","718"
"#4285","yui-raikiri","95.81%","35,112","7,799","6","249","593"
"#4286","Naigo","99.24%","59,183","7,799","66","306","939"
"#4287","Pandas","98.93%","81,693","7,799","28","691","1,062"
"#4288","TheML69","98.39%","117,204","7,798","48","507","928"
"#4289","Afternoon","99.02%","21,623","7,798","61","492","809"
"#4290","[ Rianyang ]","99.36%","102,121","7,798","152","1,137","1,876"
"#4291","Zeodexic","97.98%","64,134","7,798","48","376","892"
"#4292","Basensorex","98.79%","61,977","7,798","165","541","475"
"#4293","meatslab","98.78%","86,763","7,798","535","1,698","1,237"
"#4294","siide","98.35%","59,915","7,797","10","475","789"
"#4295","sardine0221","98.66%","83,250","7,797","221","2,898","813"
"#4296","Profanity","98.91%","47,115","7,796","9","483","739"
"#4297","Rolster","97.57%","142,088","7,796","644","2,336","690"
"#4298","Shanonyu","97.01%","27,438","7,795","46","352","309"
"#4299","Sykon","94.70%","140,668","7,795","10","535","1,103"
"#4300","- Xluxic -","96.69%","46,082","7,795","22","590","1,019"
"#4301","BMP","98.82%","57,706","7,795","16","574","1,154"
"#4302","Zeatlan","99.18%","81,792","7,794","141","1,689","1,562"
"#4303","gamer228666","97.41%","16,423","7,794","92","617","325"
"#4304","-KimJongUn","97.34%","27,906","7,794","32","91","107"
"#4305","Nyantiaz","97.47%","52,229","7,794","195","1,169","677"
"#4306","frep","98.23%","60,620","7,794","10","67","232"
"#4307","[KEK]","97.75%","49,797","7,794","27","381","530"
"#4308","[ Tetris ]","99.45%","65,303","7,794","281","2,580","2,237"
"#4309","est","98.53%","15,254","7,793","39","775","837"
"#4310","blourgh","99.10%","88,190","7,793","240","1,053","2,102"
"#4311","Justice","97.72%","48,426","7,792","36","623","1,711"
"#4312","Sparkleice","98.78%","68,407","7,792","144","1,765","1,635"
"#4313","O_pen","98.75%","39,877","7,792","46","597","1,705"
"#4314","-Mikeyy","96.25%","57,561","7,791","12","262","576"
"#4315","Gyutto","98.85%","75,254","7,791","35","2,301","1,020"
"#4316","xLastGame","97.82%","84,065","7,791","43","497","640"
"#4317","Loazo","97.37%","69,993","7,791","39","668","1,248"
"#4318","Climbay","98.91%","54,753","7,791","209","670","177"
"#4319","Franek0533","98.34%","58,080","7,790","107","875","1,018"
"#4320","Varsagus","99.08%","78,631","7,789","20","733","1,281"
"#4321","-Nezunyan-","98.37%","86,908","7,789","163","1,097","592"
"#4322","AlphexX","95.96%","42,273","7,789","71","449","790"
"#4323","Izikz","98.97%","47,626","7,787","89","1,084","1,378"
"#4324","Kiminimo","98.65%","51,276","7,787","88","1,075","501"
"#4325","NotNotGay","99.04%","64,514","7,787","99","927","1,733"
"#4326","Movingxd","97.70%","48,743","7,786","45","435","900"
"#4327","shNzg0d","97.92%","26,794","7,785","12","472","945"
"#4328","kuroino[ni-so]","98.75%","68,979","7,785","37","807","2,066"
"#4329","v1cks","96.48%","69,700","7,784","35","593","693"
"#4330","Zer0-","99.05%","104,736","7,783","79","1,369","1,676"
"#4331","Vignette-","98.33%","43,213","7,783","87","771","709"
"#4332","Ferra_San","98.06%","77,638","7,782","113","1,923","839"
"#4333","Eyre","99.44%","32,740","7,782","460","2,022","1,488"
"#4334","Letor","99.13%","47,107","7,781","167","1,520","2,363"
"#4335","Izuzu","98.16%","54,090","7,781","84","720","517"
"#4336","Chaosu","99.03%","217,922","7,781","378","1,213","1,345"
"#4337","pshxe","98.89%","62,477","7,780","771","1,750","172"
"#4338","PDF","97.57%","94,200","7,779","69","792","1,043"
"#4339","Y u k i n a","99.03%","48,454","7,778","143","2,430","1,984"
"#4340","Machako","98.82%","91,384","7,778","124","1,868","1,473"
"#4341","Ayucchi","96.32%","83,521","7,778","26","613","784"
"#4342","val0108","98.36%","106,058","7,777","112","3,570","1,912"
"#4343","Snow Ripple","99.22%","128,512","7,777","1,004","3,904","1,015"
"#4344","Loneliness","99.29%","112,044","7,777","588","2,448","1,092"
"#4345","[Hotaru]","98.16%","50,926","7,777","73","1,609","536"
"#4346","jaybyabut","96.42%","74,341","7,777","8","263","341"
"#4347","Margo","98.33%","64,670","7,777","14","433","701"
"#4348","CrispyCookie","98.09%","28,118","7,775","15","509","1,247"
"#4349","[ Katz ]","97.96%","68,405","7,774","38","1,119","1,629"
"#4350","Frostt","99.08%","77,573","7,774","21","318","836"
"#4351","Moeshi","99.06%","86,608","7,774","37","813","838"
"#4352","Satanichia_","97.03%","50,000","7,774","12","539","1,068"
"#4353","ok7","95.79%","47,878","7,774","24","645","712"
"#4354","Teejay","97.37%","116,143","7,773","59","452","774"
"#4355","Hermatis","98.94%","56,606","7,773","44","1,201","1,128"
"#4356","[Hirai Momo]","98.60%","89,627","7,773","80","707","432"
"#4357","King Hong","99.19%","73,335","7,773","1,004","2,000","1,101"
"#4358","Dia1","99.03%","39,828","7,773","138","1,381","868"
"#4359","Khytacami","99.25%","69,858","7,773","280","1,177","558"
"#4360","Lauta","97.56%","57,471","7,773","34","573","812"
"#4361","EpicWeebthe7th","98.12%","39,001","7,772","5","731","1,145"
"#4362","pineqpple","98.80%","31,993","7,772","20","143","287"
"#4363","nvpy","98.11%","156,784","7,771","170","3,972","1,433"
"#4364","small boob","98.90%","74,583","7,771","44","942","2,000"
"#4365","TheAlmightyDong","99.05%","98,355","7,771","52","731","1,629"
"#4366","moJusko","98.41%","54,632","7,771","53","693","635"
"#4367","Saomega","98.84%","60,363","7,771","10","318","1,199"
"#4368","Capu","99.27%","62,058","7,770","74","943","1,166"
"#4369","Loner Stoner","99.15%","56,945","7,769","111","1,023","1,652"
"#4370","Donovan","98.54%","91,339","7,769","57","719","1,037"
"#4371","FK MY WIFE","98.41%","63,272","7,769","19","323","559"
"#4372","DrPogoface","98.32%","60,036","7,769","22","444","791"
"#4373","Rejuvie","99.02%","25,765","7,768","42","473","994"
"#4374","Schlomo","99.23%","90,270","7,768","208","1,929","837"
"#4375","Yuzuki Roa","98.42%","86,159","7,768","113","743","733"
"#4376","verganzaj","98.92%","48,636","7,767","7","412","857"
"#4377","- James -","97.71%","28,087","7,767","45","93","538"
"#4378","Miniember","97.42%","40,446","7,766","11","249","878"
"#4379","Shiki-Natsume","97.48%","40,343","7,766","42","763","925"
"#4380","gman","99.88%","71,485","7,766","683","554","520"
"#4381","Misterpercy397","97.11%","45,464","7,765","6","308","855"
"#4382","nNameee","95.17%","20,379","7,765","7","135","147"
"#4383","Krilex","98.38%","170,744","7,765","154","2,225","2,030"
"#4384","prosopon","98.23%","33,962","7,764","163","732","1,137"
"#4385","-Red Dragon-","99.24%","107,425","7,763","28","742","833"
"#4386","Randomguruz","98.86%","43,630","7,763","0","452","310"
"#4387","Snase","99.19%","62,355","7,763","126","955","907"
"#4388","Sempai","98.56%","155,950","7,762","97","982","1,452"
"#4389","Nibu","99.22%","55,777","7,762","39","760","730"
"#4390","fri","97.13%","40,160","7,762","3","249","207"
"#4391","RubMyBabied","99.04%","58,451","7,761","29","555","625"
"#4392","DarkKarate","97.49%","65,474","7,761","51","503","840"
"#4393","Sayori-sama","99.02%","111,672","7,761","387","1,897","128"
"#4394","HeyGuy","97.99%","47,424","7,761","51","656","384"
"#4395","Kevelia","99.36%","56,218","7,761","175","1,862","1,169"
"#4396","SiCoOG","98.99%","101,842","7,761","42","783","1,463"
"#4397","Cephus","98.85%","78,353","7,761","9","723","1,691"
"#4398","ClickZX","98.48%","51,521","7,761","308","1,278","1,804"
"#4399","hiroronnsann","97.38%","51,993","7,760","17","344","676"
"#4400","Aguus","96.03%","54,842","7,760","18","602","689"
"#4401","StRaVe228","98.75%","24,251","7,760","15","352","397"
"#4402","Akakkihito","98.67%","72,810","7,760","25","445","669"
"#4403","ZFM","98.92%","45,021","7,759","58","472","635"
"#4404","Ziielony","98.94%","86,652","7,759","24","368","974"
"#4405","SpiritFiree","98.54%","30,828","7,759","36","426","625"
"#4406","Remyria","98.86%","49,721","7,758","1,342","1,198","252"
"#4407","yaboytanner","98.31%","71,448","7,757","44","1,371","2,179"
