"","","Accuracy","Play Count","Performance","SS","S","A"
"#149","Zmatureeno","98.57%","144,503","12,611","48","771","765"
"#150","King Lizard","97.25%","177,398","12,609","34","1,515","2,776"
"#151","osu gameur","96.11%","122,067","12,608","41","854","1,000"
"#152","Mokebe","98.35%","64,609","12,602","46","500","733"
"#153","ItsKevZii","98.05%","171,138","12,595","74","1,621","1,827"
"#154","Aseridan","97.04%","125,260","12,588","29","425","765"
"#155","WubWoofWolf","99.18%","276,335","12,588","13,827","11,630","3,169"
"#156","WakaiYuki","97.65%","103,191","12,584","155","907","1,041"
"#157","LoliL0ver","95.82%","78,217","12,579","152","1,714","1,175"
"#158","AxewB","98.61%","121,070","12,579","72","1,168","1,005"
"#159","Voss","97.54%","156,543","12,572","667","1,720","1,314"
"#160","bloo","98.76%","147,517","12,570","117","780","703"
"#161","Risiing","99.07%","130,409","12,561","305","1,561","652"
"#162","Fudy","96.81%","60,752","12,560","8","538","550"
"#163","Spazza17","98.93%","101,040","12,553","325","2,520","1,788"
"#164","Rohulk","99.49%","56,094","12,548","103","2,544","2,687"
"#165","Not DT Farmer","95.62%","118,195","12,542","28","533","606"
"#166","KoaLeahq","98.64%","112,057","12,529","146","2,118","1,398"
"#167","talala","97.74%","217,538","12,514","158","2,677","2,038"
"#168","MyAngelMiku","98.15%","111,679","12,505","19","612","1,370"
"#169","Areox","97.75%","54,024","12,489","56","454","652"
"#170","Neox","98.54%","42,056","12,475","44","582","673"
"#171","Yaong","99.44%","114,479","12,471","1,219","3,335","520"
"#172","Knalli","98.96%","67,081","12,464","154","1,695","1,879"
"#173","Fjell","98.22%","100,052","12,461","74","936","1,240"
"#174","Viveliam","99.31%","224,747","12,448","95","2,876","2,427"
"#175","Monk The Don","97.31%","243,282","12,439","101","2,647","3,096"
"#176","worst dt player","98.16%","167,052","12,434","175","1,041","1,598"
"#177","Flaven","99.39%","156,104","12,420","243","1,465","1,626"
"#178","Blairzey","98.90%","242,972","12,409","199","1,210","1,623"
"#179","Hasawa Kraenes","99.12%","89,911","12,397","8","1,212","1,582"
"#180","xxkiritoxx47","96.76%","84,545","12,375","15","344","614"
"#181","Thundur","96.95%","218,225","12,369","343","1,723","2,615"
"#182","Frosiito","98.69%","132,699","12,345","75","1,134","1,485"
"#183","Negaces","98.15%","142,759","12,344","70","914","1,451"
"#184","ikaNyai","94.91%","74,213","12,339","329","455","837"
"#185","Bartek22380","99.35%","119,934","12,331","5,442","5,889","668"
"#186","Fobxx","99.02%","99,222","12,326","12","293","455"
"#187","Skill","99.49%","125,212","12,308","593","2,403","1,430"
"#188","dectopia","97.82%","46,870","12,304","49","499","1,060"
"#189","SiNon","97.01%","141,161","12,300","112","843","1,329"
"#190","roliy","98.11%","71,360","12,290","14","419","1,046"
"#191","dejiz","97.54%","82,100","12,287","92","686","980"
"#192","VoProSSoFF","97.75%","122,426","12,284","76","695","824"
"#193","Sparkxei","97.09%","126,628","12,282","22","1,018","1,283"
"#194","GfMRT","98.96%","114,161","12,273","838","4,703","920"
"#195","Amya","97.40%","78,777","12,264","459","314","305"
"#196","Danidesu","97.36%","89,733","12,261","53","769","1,269"
"#197","Kimmy-","98.91%","56,417","12,258","98","359","875"
"#198","Jabahh","97.11%","97,181","12,245","106","564","477"
"#199","-Lane-","98.92%","89,820","12,224","70","1,105","2,291"
"#200","- Dark -","98.95%","97,569","12,223","64","874","1,269"
"#201","Unexpected","98.37%","76,809","12,218","32","1,089","1,883"
"#202","Zoomer","97.63%","110,817","12,216","24","432","775"
"#203","Rinnu","98.51%","70,394","12,216","52","871","1,005"
"#204","Envy_ss","96.96%","116,582","12,213","50","1,286","823"
"#205","rebella","94.70%","117,285","12,209","23","546","569"
"#206","t[-_-t]","98.16%","180,265","12,205","79","1,697","1,565"
"#207","Medicals","98.36%","68,941","12,178","22","702","917"
"#208","_index","98.57%","85,118","12,164","445","1,842","771"
"#209","Neliel","98.75%","160,303","12,161","42","1,971","1,132"
"#210","Sakke","98.32%","82,768","12,156","17","364","439"
"#211","ClickingDoggo","95.50%","73,312","12,152","11","246","513"
"#212","Num5119","98.43%","140,072","12,151","79","1,133","1,724"
"#213","-Din-","98.54%","121,598","12,121","49","692","1,475"
"#214","Mecarl","98.08%","104,108","12,114","48","1,361","862"
"#215","newphone whodis","96.10%","97,866","12,112","19","396","597"
"#216","Akolibed","96.84%","71,846","12,109","14","260","396"
"#217","Ukase","97.22%","129,899","12,098","43","1,129","1,663"
"#218","Eunha -","98.52%","132,400","12,086","65","512","443"
"#219","Rulyz","99.18%","23,313","12,085","25","295","590"
"#220","Rupertion","99.00%","69,499","12,075","109","987","1,110"
"#221","WillCookie","99.07%","82,374","12,072","3,571","2,504","1,380"
"#222","----","96.44%","116,331","12,070","28","878","1,266"
"#223","Shime","96.69%","60,405","12,070","13","311","423"
"#224","Aknama","97.00%","184,921","12,069","51","549","890"
"#225","Rean-K","97.61%","85,570","12,067","25","1,330","1,236"
"#226","Skyrovania","98.87%","86,711","12,066","18","836","1,260"
"#227","a12456","95.19%","139,697","12,065","40","3,491","1,203"
"#228","Zakura","98.08%","109,854","12,064","40","951","1,134"
"#229","_demo","97.73%","142,270","12,063","197","1,605","2,617"
"#230","Raikouhou","97.95%","56,421","12,056","43","406","717"
"#231","w1sp","97.41%","43,635","12,056","35","675","949"
"#232","rip fc","96.68%","91,956","12,011","66","479","767"
"#233","boleks","99.10%","149,117","12,008","175","1,923","1,252"
"#234","Astar","97.39%","170,476","12,008","107","2,036","1,698"
"#235","_Shield","99.17%","89,063","12,006","307","2,004","1,616"
"#236","Auji","97.43%","141,410","12,002","23","1,322","1,638"
"#237","Mystia","98.89%","178,175","12,001","260","1,101","1,262"
"#238","Crezz","98.10%","89,995","11,992","118","945","820"
"#239","twoja stara","99.15%","102,868","11,987","408","1,674","1,178"
"#240","Rhythm blue","99.09%","81,631","11,984","7","1,032","1,038"
"#241","Blobby3000","98.76%","96,013","11,983","76","1,051","1,673"
"#242","chankoma","98.30%","178,507","11,980","430","1,891","655"
"#243","Ventus","99.02%","93,770","11,975","493","5,536","2,205"
"#244","Topoi","97.35%","102,992","11,964","83","1,540","1,650"
"#245","dench","97.02%","41,347","11,955","12","219","407"
"#246","Jakson","97.37%","55,832","11,946","21","366","1,425"
"#247","iMey","99.39%","40,691","11,939","22","523","313"
"#248","Fichi","97.88%","151,115","11,914","101","768","738"
"#249","Mizuru","98.78%","102,310","11,913","93","997","1,397"
"#250","kyorii","96.14%","77,392","11,905","42","496","420"
"#251","BadGraph_","97.65%","49,345","11,899","21","410","1,060"
"#252","nick1324","98.30%","57,912","11,887","54","901","803"
"#253","MioMilo","98.95%","173,210","11,886","323","2,840","1,799"
"#254","Clarity","98.44%","104,542","11,886","316","1,516","445"
"#255","heyronii","97.56%","108,513","11,882","37","948","1,955"
"#256","rudj","97.74%","124,340","11,878","49","798","536"
"#257","Apraxia","98.79%","125,759","11,869","167","1,500","2,483"
"#258","Jup3KW","99.45%","93,994","11,867","165","1,039","1,350"
"#259","Strauberry","94.83%","59,533","11,866","2","172","233"
"#260","oni","98.45%","30,467","11,860","89","496","433"
"#261","Asde","97.05%","114,439","11,859","105","1,117","1,113"
"#262","SadnessWillSear","99.19%","115,592","11,838","39","1,348","1,022"
"#263","ruirui","98.32%","80,090","11,833","48","654","835"
"#264","Epiphany","99.28%","150,628","11,831","554","2,081","2,326"
"#265","xootynator","98.93%","53,401","11,829","82","721","704"
"#266","Ephix","97.92%","135,747","11,826","0","1,824","398"
"#267","AbrahamR","98.72%","91,961","11,814","143","1,403","1,169"
"#268","CLIQUEURDZ_DU58","98.73%","167,034","11,813","39","1,639","1,643"
"#269","Riffo","98.11%","106,567","11,812","92","1,009","1,019"
"#270","Tekkito","97.73%","60,522","11,810","47","846","1,687"
"#271","Jerekek","97.75%","70,353","11,808","31","240","569"
"#272","Woffel","99.18%","113,583","11,806","101","840","2,148"
"#273","Miseration","98.15%","121,678","11,803","14","428","807"
"#274","HappyStick","98.54%","212,707","11,794","161","3,021","910"
"#275","Kurogami","98.18%","96,214","11,780","103","1,128","1,158"
"#276","[ Blue ]","98.00%","107,229","11,779","98","1,068","1,311"
"#277","ChitogeOP","97.97%","162,150","11,777","117","1,245","1,210"
"#278","VilaZ","97.76%","69,340","11,774","66","1,458","1,530"
"#279","bango","97.53%","101,687","11,770","8","305","658"
"#280","Wario","98.44%","137,008","11,762","265","1,734","2,297"
"#281","Jaggan","97.69%","209,628","11,758","114","1,118","1,500"
"#282","Moffo","96.29%","282,087","11,749","238","1,870","1,115"
"#283","Pray","93.54%","178,136","11,742","49","3,394","1,393"
"#284","Stoof","99.08%","96,787","11,739","89","1,005","1,491"
"#285","edizberkserbest","96.77%","81,539","11,730","8","367","696"
"#286","nigelf","98.32%","122,127","11,730","76","941","999"
"#287","Woey","99.12%","308,118","11,725","2,819","8,674","1,587"
"#288","-Chika","97.29%","81,089","11,724","41","390","609"
"#289","Detze","97.53%","127,755","11,720","313","1,771","1,502"
"#290","LanJay","99.19%","189,246","11,718","164","1,456","1,769"
"#291","-NeBu-","98.93%","105,403","11,704","561","2,161","883"
