"rank","username","acc","playcount","performance","SS","S","A"
186,"Fobxx",99.02,99222,12326,12,293,455
187,"Skill",99.49,125212,12308,593,2403,1430
188,"dectopia",97.82,46870,12304,49,499,1060
189,"SiNon",97.01,141161,12300,112,843,1329
190,"roliy",98.11,71360,12290,14,419,1046
191,"dejiz",97.54,82100,12287,92,686,980
192,"VoProSSoFF",97.75,122426,12284,76,695,824
193,"Sparkxei",97.09,126628,12282,22,1018,1283
194,"GfMRT",98.96,114161,12273,838,4703,920
195,"Amya",97.4,78777,12264,459,314,305
196,"Danidesu",97.36,89733,12261,53,769,1269
197,"Kimmy-",98.91,56417,12258,98,359,875
198,"Jabahh",97.11,97181,12245,106,564,477
199,"-Lane-",98.92,89820,12224,70,1105,2291
200,"- Dark -",98.95,97569,12223,64,874,1269
201,"Unexpected",98.37,76809,12218,32,1089,1883
202,"Zoomer",97.63,110817,12216,24,432,775
203,"Rinnu",98.51,70394,12216,52,871,1005
204,"Envy_ss",96.96,116582,12213,50,1286,823
205,"rebella",94.7,117285,12209,23,546,569
206,"t[-_-t]",98.16,180265,12205,79,1697,1565
207,"Medicals",98.36,68941,12178,22,702,917
208,"_index",98.57,85118,12164,445,1842,771
209,"Neliel",98.75,160303,12161,42,1971,1132
210,"Sakke",98.32,82768,12156,17,364,439
211,"ClickingDoggo",95.5,73312,12152,11,246,513
212,"Num5119",98.43,140072,12151,79,1133,1724
213,"-Din-",98.54,121598,12121,49,692,1475
214,"Mecarl",98.08,104108,12114,48,1361,862
215,"newphone whodis",96.1,97866,12112,19,396,597
216,"Akolibed",96.84,71846,12109,14,260,396
217,"Ukase",97.22,129899,12098,43,1129,1663
218,"Eunha -",98.52,132400,12086,65,512,443
219,"Rulyz",99.18,23313,12085,25,295,590
220,"Rupertion",99,69499,12075,109,987,1110
221,"WillCookie",99.07,82374,12072,3571,2504,1380
222,"----",96.44,116331,12070,28,878,1266
223,"Shime",96.69,60405,12070,13,311,423
224,"Aknama",97,184921,12069,51,549,890
